# omega0=1, alpha=0
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=300, h=0.00911928
#   t          x(t)                 v(t)       
3.638593523315884e+01 -7.450479134179029e-01 2.769429841495858e-01
3.647712805329207e+01 -7.170008317259341e-01 3.378557122812805e-01
3.656832087342530e+01 -6.834922835754453e-01 3.966493379710690e-01
3.665951369355853e+01 -6.447354538226608e-01 4.528842553459340e-01
3.675070651369176e+01 -6.009842149842698e-01 5.061082420118220e-01
3.684189933382499e+01 -5.525341033255968e-01 5.558606540425969e-01
3.693309215395822e+01 -4.997228112813275e-01 6.016788348749752e-01
3.702428497409145e+01 -4.429299978426635e-01 6.431066324371059e-01
3.711547779422468e+01 -3.825762362173977e-01 6.797047399594078e-01
3.720667061435791e+01 -3.191209525301539e-01 7.110623895017129e-01
3.729786343449114e+01 -2.530592603885190e-01 7.368097533910076e-01
3.738905625462437e+01 -1.849176615765978e-01 7.566302714164787e-01
3.748024907475760e+01 -1.152486585106127e-01 7.702720448116614e-01
3.757144189489083e+01 -4.462440294119107e-02 7.775574412132316e-01
3.766263471502406e+01 2.637042012687903e-02 7.783901480193375e-01
3.775382753515729e+01 9.714621239739321e-02 7.727590920835732e-01
3.784502035529052e+01 1.671162831507856e-01 7.607388946264663e-01
3.793621317542375e+01 2.357045509924977e-01 7.424868225912770e-01
3.802740599555698e+01 3.023528165829178e-01 7.182364949235773e-01
3.811859881569021e+01 3.665273324733414e-01 6.882888670257086e-01
3.820979163582344e+01 4.277244536260789e-01 6.530012174264302e-01
3.830098445595667e+01 4.854752242217270e-01 6.127749772272200e-01
3.839217727608990e+01 5.393488348675871e-01 5.680432687256429e-01
3.848337009622313e+01 5.889549612760040e-01 5.192589618142758e-01
3.857456291635636e+01 6.339450639859285e-01 4.668839327799743e-01
3.866575573648959e+01 6.740127837589743e-01 4.113800433122355e-01
3.875694855662282e+01 7.088936061053956e-01 3.532021722258457e-01
