#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
5.488938e+00  -1.335271e+01  -7.123036e+00  -1.805086e+01
5.493061e+00  -1.362379e+01  -1.603405e+01  -1.453718e+01
5.497168e+00  -1.324053e+01  -7.131255e+00  -1.603405e+01
5.501258e+00  -1.388974e+01  -1.540976e+01  -1.482970e+01
5.505332e+00  -1.370483e+01  -7.139543e+00  -1.459860e+01
5.509388e+00  -1.370483e+01  -1.407841e+01  -1.540976e+01
5.513429e+00  -1.347909e+01  -7.147181e+00  -1.556357e+01
5.517453e+00  -1.341391e+01  -1.360017e+01  -1.634351e+01
5.521461e+00  -1.347909e+01  -7.155724e+00  -1.556357e+01
5.525453e+00  -1.347909e+01  -1.540976e+01  -1.556357e+01
5.529429e+00  -1.347909e+01  -7.163487e+00  -1.805086e+01
5.533389e+00  -1.379302e+01  -1.805086e+01  -1.482970e+01
5.537334e+00  -1.324053e+01  -7.171065e+00  -1.603405e+01
5.541264e+00  -1.341391e+01  -1.540976e+01  -1.482970e+01
5.545177e+00  -1.341391e+01  -7.179444e+00  -1.556357e+01
5.549076e+00  -1.318883e+01  -1.540976e+01  -1.805086e+01
5.552960e+00  -1.388974e+01  -7.187394e+00  -1.441102e+01
5.556828e+00  -1.329505e+01  -1.805086e+01  -1.634351e+01
5.560682e+00  -1.329505e+01  -7.194528e+00  -1.388974e+01
5.564520e+00  -1.362379e+01  -1.453718e+01  -1.603405e+01
5.568345e+00  -1.362379e+01  -7.202979e+00  -1.425312e+01
5.572154e+00  -1.362379e+01  -1.482970e+01  -1.540976e+01
5.575949e+00  -1.370483e+01  -7.209206e+00  -1.453718e+01
5.579730e+00  -1.354883e+01  -1.441102e+01  -1.540976e+01
5.583496e+00  -1.341391e+01  -7.217654e+00  -1.805086e+01
5.587249e+00  -1.324053e+01  -1.805086e+01  -1.502834e+01
5.590987e+00  -1.370483e+01  -7.225138e+00  -1.475290e+01
5.594711e+00  -1.354883e+01  -1.556357e+01  -1.556357e+01
5.598422e+00  -1.379302e+01  -7.233984e+00  -1.482970e+01
5.602119e+00  -1.329505e+01  -1.540976e+01  -1.502834e+01
5.605802e+00  -1.354883e+01  -7.240670e+00  -1.634351e+01
5.609472e+00  -1.362379e+01  -1.482970e+01  -1.634351e+01
5.613128e+00  -1.347909e+01  -7.247666e+00  -1.634351e+01
5.616771e+00  -1.388974e+01  -1.540976e+01  -1.513077e+01
5.620401e+00  -1.329505e+01  -7.255246e+00  -1.634351e+01
5.624018e+00  -1.329505e+01  -1.513077e+01  -1.556357e+01
5.627621e+00  -1.388974e+01  -7.262614e+00  -1.459860e+01
5.631212e+00  -1.399684e+01  -1.805086e+01  -1.482970e+01
5.634790e+00  -1.347909e+01  -7.268277e+00  -1.805086e+01
5.638355e+00  -1.318883e+01  -1.513077e+01  -1.425312e+01
5.641907e+00  -1.354883e+01  -7.276560e+00  -1.603405e+01
5.645447e+00  -1.388974e+01  -1.540976e+01  -1.441102e+01
5.648974e+00  -1.482970e+01  -7.284087e+00  -1.556357e+01
5.652489e+00  -1.388974e+01  -1.540976e+01  -1.425312e+01
5.655992e+00  -1.370483e+01  -7.291395e+00  -1.603405e+01
5.659482e+00  -1.411679e+01  -1.603405e+01  -1.634351e+01
5.662960e+00  -1.370483e+01  -7.297781e+00  -1.453718e+01
5.666427e+00  -1.399684e+01  -1.603405e+01  -1.513077e+01
5.669881e+00  -1.513077e+01  -7.304348e+00  -1.634351e+01
5.673323e+00  -1.379302e+01  -1.634351e+01  -1.459860e+01
5.676754e+00  -1.347909e+01  -7.311524e+00  -1.556357e+01
5.680173e+00  -1.399684e+01  -1.603405e+01  -1.556357e+01
5.683580e+00  -1.370483e+01  -7.317898e+00  -1.425312e+01
5.686975e+00  -1.335271e+01  -1.459860e+01  -1.805086e+01
5.690359e+00  -1.370483e+01  -7.325458e+00  -1.420925e+01
5.693732e+00  -1.411679e+01  -1.459860e+01  -1.453718e+01
5.697093e+00  -1.399684e+01  -7.331922e+00  -1.459860e+01
5.700444e+00  -1.411679e+01  -1.513077e+01  -1.540976e+01
5.703782e+00  -1.370483e+01  -7.338283e+00  -1.475290e+01
5.707110e+00  -1.362379e+01  -1.420925e+01  -1.634351e+01
5.710427e+00  -1.379302e+01  -7.345269e+00  -1.513077e+01
5.713733e+00  -1.441102e+01  -1.556357e+01  -1.603405e+01
5.717028e+00  -1.388974e+01  -7.352157e+00  -1.475290e+01
5.720312e+00  -1.379302e+01  -1.634351e+01  -1.603405e+01
5.723585e+00  -1.388974e+01  -7.358204e+00  -1.556357e+01
5.726848e+00  -1.513077e+01  -1.502834e+01  -1.513077e+01
5.730100e+00  -1.354883e+01  -7.365778e+00  -1.556357e+01
5.733341e+00  -1.354883e+01  -1.805086e+01  -1.634351e+01
5.736572e+00  -1.459860e+01  -7.370860e+00  -1.502834e+01
5.739793e+00  -1.425312e+01  -1.540976e+01  -1.513077e+01
5.743003e+00  -1.411679e+01  -7.378983e+00  -1.482970e+01
5.746203e+00  -1.411679e+01  -1.805086e+01  -1.482970e+01
5.749393e+00  -1.411679e+01  -7.385044e+00  -1.603405e+01
5.752573e+00  -1.324053e+01  -1.475290e+01  -1.805086e+01
5.755742e+00  -1.399684e+01  -7.390377e+00  -1.540976e+01
5.758902e+00  -1.399684e+01  -1.556357e+01  -1.540976e+01
5.762051e+00  -1.441102e+01  -7.396200e+00  -1.540976e+01
5.765191e+00  -1.425312e+01  -1.513077e+01  -1.459860e+01
5.768321e+00  -1.379302e+01  -7.402520e+00  -1.502834e+01
5.771441e+00  -1.425312e+01  -1.540976e+01  -1.502834e+01
5.774552e+00  -1.459860e+01  -7.409037e+00  -1.556357e+01
5.777652e+00  -1.425312e+01  -1.603405e+01  -1.634351e+01
5.780744e+00  -1.362379e+01  -7.414970e+00  -1.805086e+01
5.783825e+00  -1.411679e+01  -1.805086e+01  -1.603405e+01
5.786897e+00  -1.513077e+01  -7.423462e+00  -1.441102e+01
5.789960e+00  -1.411679e+01  -1.502834e+01  -1.603405e+01
5.793014e+00  -1.362379e+01  -7.428687e+00  -1.603405e+01
5.796058e+00  -1.379302e+01  -1.502834e+01  -1.502834e+01
5.799093e+00  -1.441102e+01  -7.434418e+00  -1.513077e+01
5.802118e+00  -1.379302e+01  -1.435983e+01  -1.634351e+01
5.805135e+00  -1.441102e+01  -7.440986e+00  -1.435983e+01
5.808142e+00  -1.362379e+01  -1.540976e+01  -1.441102e+01
5.811141e+00  -1.482970e+01  -7.446788e+00  -1.513077e+01
5.814131e+00  -1.459860e+01  -1.540976e+01  -1.420925e+01
5.817111e+00  -1.362379e+01  -7.452625e+00  -1.556357e+01
5.820083e+00  -1.354883e+01  -1.513077e+01  -1.513077e+01
