#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
1137  2.495691e-10  1.300493e-14  7.067899e-16
1141  2.460785e-10  1.795246e-14  7.067899e-16
1145  2.426574e-10  1.554938e-14  7.067899e-16
1149  2.392911e-10  1.851790e-14  7.067899e-16
1153  2.359895e-10  1.597345e-14  7.067899e-16
1157  2.327476e-10  6.926541e-15  7.067899e-16
1161  2.295416e-10  1.865925e-14  7.067899e-16
1165  2.264022e-10  2.162777e-14  7.067899e-16
1169  2.233227e-10  1.625617e-14  7.067899e-16
1173  2.202844e-10  1.526666e-14  7.067899e-16
1177  2.173074e-10  1.272222e-14  7.067899e-16
1181  2.143794e-10  1.017777e-14  7.067899e-16
1185  2.114946e-10  1.258086e-14  7.067899e-16
1189  2.086630e-10  6.361109e-15  7.067899e-16
1193  2.058719e-10  1.357037e-14  7.067899e-16
1197  2.031294e-10  1.046049e-14  7.067899e-16
1201  2.004469e-10  5.937035e-15  7.067899e-16
1205  1.977829e-10  1.441851e-14  7.067899e-16
1209  1.951731e-10  1.272222e-14  7.067899e-16
1213  1.926143e-10  8.481479e-15  7.067899e-16
1217  1.900985e-10  7.209257e-15  7.067899e-16
1221  1.876113e-10  1.102592e-14  7.067899e-16
1225  1.851774e-10  3.109876e-15  7.067899e-16
1229  1.827733e-10  1.173271e-14  7.067899e-16
1233  1.804117e-10  8.340121e-15  7.067899e-16
1237  1.780801e-10  1.781111e-14  7.067899e-16
1241  1.757994e-10  7.774689e-15  7.067899e-16
1245  1.735453e-10  1.484259e-14  7.067899e-16
1249  1.713365e-10  6.785183e-15  7.067899e-16
1253  1.691617e-10  5.937035e-15  7.067899e-16
1257  1.670078e-10  1.201543e-14  7.067899e-16
1261  1.649038e-10  1.130864e-15  7.067899e-16
1265  1.628212e-10  1.116728e-14  7.067899e-16
1269  1.607878e-10  9.895059e-16  7.067899e-16
1273  1.587625e-10  1.243950e-14  7.067899e-16
1277  1.567820e-10  1.031913e-14  7.067899e-16
1281  1.548345e-10  5.937035e-15  7.067899e-16
1285  1.529168e-10  2.827160e-15  7.067899e-16
1289  1.510239e-10  5.795677e-15  7.067899e-16
1293  1.491653e-10  4.240740e-16  7.067899e-16
1297  1.473339e-10  3.533950e-15  7.067899e-16
1301  1.455225e-10  5.512961e-15  7.067899e-16
1305  1.437348e-10  1.484259e-14  7.067899e-16
1309  1.419924e-10  6.219751e-15  7.067899e-16
1313  1.402632e-10  1.145000e-14  7.067899e-16
1317  1.385691e-10  6.643825e-15  7.067899e-16
1321  1.369028e-10  6.926541e-15  7.067899e-16
1325  1.352540e-10  1.979012e-15  7.067899e-16
1329  1.336253e-10  9.753701e-15  7.067899e-16
1333  1.320415e-10  1.979012e-15  7.067899e-16
1337  1.304703e-10  4.099382e-15  7.067899e-16
1341  1.289110e-10  7.350615e-15  7.067899e-16
1345  1.273774e-10  7.067899e-15  7.067899e-16
1349  1.258711e-10  1.031913e-14  7.067899e-16
1353  1.243935e-10  2.403086e-15  7.067899e-16
1357  1.229388e-10  5.654319e-16  7.067899e-16
1361  1.214956e-10  7.067899e-15  7.067899e-16
1365  1.200715e-10  5.512961e-15  7.067899e-16
1369  1.186774e-10  1.696296e-15  7.067899e-16
1373  1.173025e-10  4.099382e-15  7.067899e-16
1377  1.159339e-10  4.947530e-15  7.067899e-16
