# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
10.4500  5.398509613009663e-12  -1.198705676113197e-11  7.184476489729978e-23    5.752776466693338e-22  5.000000000000000e-01
10.4600  5.279960075693508e-12  -1.172382484442108e-11  6.872403449133249e-23    5.502892366383368e-22  5.000000000000000e-01
10.4700  5.164013848143443e-12  -1.146637341606159e-11  6.573885965828198e-23    5.263862514269767e-22  5.000000000000000e-01
10.4800  5.050613762513081e-12  -1.121457553838577e-11  6.288335225308024e-23    5.035215432960567e-22  5.000000000000000e-01
10.4900  4.939703906343588e-12  -1.096830706123629e-11  6.015187989478298e-23    4.816500124688656e-22  5.000000000000000e-01
10.5000  4.831229594995765e-12  -1.072744656075343e-11  5.753905485691026e-23    4.607285181735644e-22  5.000000000000000e-01
10.5100  4.725137344687525e-12  -1.049187527950639e-11  5.503972344035869e-23    4.407157935496365e-22  5.000000000000000e-01
10.5200  4.621374846123463e-12  -1.026147706793947e-11  5.264895580792383e-23    4.215723642505582e-22  5.000000000000000e-01
10.5300  4.519890938703501e-12  -1.003613832710386e-11  5.036203626038153e-23    4.032604705821347e-22  5.000000000000000e-01
10.5400  4.420635585297905e-12  -9.815747952647197e-12  4.817445393494882e-23    3.857439930229236e-22  5.000000000000000e-01
10.5500  4.323559847576245e-12  -9.600197280033022e-12  4.608189390777672e-23    3.689883809798379e-22  5.000000000000000e-01
10.5600  4.228615861878105e-12  -9.389380030963194e-12  4.408022868292520e-23    3.529605846383998e-22  5.000000000000000e-01
10.5700  4.135756815613681e-12  -9.183192260976866e-12  4.216551005103271e-23    3.376289897732261e-22  5.000000000000000e-01
10.5800  4.044936924182609e-12  -8.981532308200165e-12  4.033396130162169e-23    3.229633553901573e-22  5.000000000000000e-01
10.5900  3.956111408399644e-12  -8.784300743221322e-12  3.858196977367933e-23    3.089347540770340e-22  5.000000000000000e-01
10.6000  3.869236472416068e-12  -8.591400320066521e-12  3.690607972981956e-23    2.955155149454650e-22  5.000000000000000e-01
10.6100  3.784269282125934e-12  -8.402735928252288e-12  3.530298553997092e-23    2.826791690510399e-22  5.000000000000000e-01
10.6200  3.701167944046505e-12  -8.218214545890835e-12  3.376952516114585e-23    2.704003971843329e-22  5.000000000000000e-01
10.6300  3.619891484662472e-12  -8.037745193825145e-12  3.230267390042961e-23    2.586549799297141e-22  5.000000000000000e-01
10.6400  3.540399830223761e-12  -7.861238890771275e-12  3.089953844888739e-23    2.474197498934633e-22  5.000000000000000e-01
10.6500  3.462653786986982e-12  -7.688608609445699e-12  2.955735117462126e-23    2.366725460069575e-22  5.000000000000000e-01
10.6600  3.386615021890760e-12  -7.519769233656084e-12  2.827346466372030e-23    2.263921698147964e-22  5.000000000000000e-01
10.6700  3.312246043655439e-12  -7.354637516334348e-12  2.704534649833633e-23    2.165583436616468e-22  5.000000000000000e-01
10.6800  3.239510184297822e-12  -7.193132038491290e-12  2.587057426158493e-23    2.071516706953300e-22  5.000000000000000e-01
10.6900  3.168371581051847e-12  -7.035173169072562e-12  2.474683075941924e-23    1.981535966072605e-22  5.000000000000000e-01
10.7000  3.098795158686277e-12  -6.880683025696193e-12  2.367189945005186e-23    1.895463730347703e-22  5.000000000000000e-01
10.7100  3.030746612210690e-12  -6.729585436252307e-12  2.264366007190958e-23    1.813130225531313e-22  5.000000000000000e-01
10.7200  2.964192389961232e-12  -6.581805901346103e-12  2.166008446149720e-23    1.734373051882233e-22  5.000000000000000e-01
10.7300  2.899099677057816e-12  -6.437271557565559e-12  2.071923255292126e-23    1.659036863837966e-22  5.000000000000000e-01
10.7400  2.835436379224580e-12  -6.295911141555781e-12  1.981924855118311e-23    1.586973063601431e-22  5.000000000000000e-01
10.7500  2.773171106965656e-12  -6.157654954882261e-12  1.895835727169303e-23    1.518039508037410e-22  5.000000000000000e-01
10.7600  2.712273160088421e-12  -6.022434829665729e-12  1.813486063878544e-23    1.452100228300549e-22  5.000000000000000e-01
10.7700  2.652712512566623e-12  -5.890184094971651e-12  1.734713433632851e-23    1.389025161641936e-22  5.000000000000000e-01
10.7800  2.594459797735904e-12  -5.760837543937805e-12  1.659362460382168e-23    1.328689894865211e-22  5.000000000000000e-01
